Timestamp: Dec 12, 2020, 7:58:25 PM
Aggressiveness: 1
Auto_agent_number: 1
Bid_type: english
Delay: 0
Manual_agent_number: 3
Smart_agent_number: 1


"tick","lastBid 0","auction 0","lastBid 1","auction 1","lastBid 2","auction 2","lastBid 3","auction 3","lastBid 4","auction 4"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,10.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,10.0,49.0,10.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,10.0,49.0,10.0,49.0,10.0,49.0,0.0,0.0,0.0,0.0
150.0,10.0,49.0,10.0,49.0,10.0,49.0,10.0,49.0,0.0,0.0
171.0,10.0,49.0,15.0,49.0,10.0,49.0,10.0,49.0,0.0,0.0
174.0,10.0,49.0,15.0,49.0,15.0,49.0,10.0,49.0,0.0,0.0
178.0,10.0,49.0,15.0,49.0,15.0,49.0,15.0,49.0,0.0,0.0
183.0,0.0,49.0,15.0,49.0,0.0,49.0,20.0,49.0,0.0,0.0
193.0,0.0,49.0,15.0,49.0,20.0,49.0,20.0,49.0,0.0,0.0
204.0,0.0,49.0,0.0,49.0,0.0,49.0,20.0,49.0,0.0,0.0
207.0,0.0,49.0,0.0,49.0,25.0,49.0,20.0,49.0,0.0,0.0
223.0,0.0,49.0,0.0,49.0,25.0,49.0,30.0,49.0,0.0,0.0
225.0,0.0,49.0,0.0,49.0,25.0,49.0,25.0,49.0,0.0,0.0
248.0,0.0,49.0,0.0,49.0,0.0,49.0,35.0,49.0,0.0,0.0
