Timestamp: Dec 12, 2020, 8:02:47 PM
Aggressiveness: 1
Auto_agent_number: 1
Bid_type: english
Delay: 0
Manual_agent_number: 4
Smart_agent_number: 1


"tick","lastBid 0","auction 0","lastBid 1","auction 1","lastBid 2","auction 2","lastBid 3","auction 3","lastBid 4","auction 4","lastBid 5","auction 5"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,10.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,10.0,1.0,10.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,10.0,1.0,10.0,1.0,10.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0
180.0,10.0,1.0,10.0,1.0,10.0,1.0,10.0,1.0,10.0,1.0,0.0,0.0
200.0,10.0,1.0,10.0,1.0,15.0,1.0,10.0,1.0,10.0,1.0,0.0,0.0
204.0,15.0,1.0,10.0,1.0,15.0,1.0,10.0,1.0,10.0,1.0,0.0,0.0
206.0,15.0,1.0,10.0,1.0,15.0,1.0,10.0,1.0,15.0,1.0,0.0,0.0
211.0,15.0,1.0,10.0,1.0,15.0,1.0,15.0,1.0,15.0,1.0,0.0,0.0
215.0,0.0,1.0,0.0,1.0,15.0,1.0,15.0,1.0,20.0,1.0,0.0,0.0
226.0,20.0,1.0,0.0,1.0,15.0,1.0,0.0,1.0,20.0,1.0,0.0,0.0
231.0,20.0,1.0,0.0,1.0,15.0,1.0,0.0,1.0,20.0,1.0,0.0,0.0
234.0,20.0,1.0,0.0,1.0,15.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0
247.0,25.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,20.0,1.0,0.0,0.0
253.0,25.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,25.0,1.0,0.0,0.0
254.0,25.0,1.0,0.0,1.0,0.0,1.0,25.0,1.0,25.0,1.0,0.0,0.0
261.0,25.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,30.0,1.0,0.0,0.0
268.0,25.0,1.0,0.0,1.0,0.0,1.0,30.0,1.0,30.0,1.0,0.0,0.0
276.0,25.0,1.0,0.0,1.0,0.0,1.0,30.0,1.0,30.0,1.0,0.0,0.0
280.0,0.0,1.0,0.0,1.0,0.0,1.0,30.0,1.0,35.0,1.0,0.0,0.0
291.0,0.0,1.0,0.0,1.0,0.0,1.0,30.0,1.0,35.0,1.0,0.0,0.0
304.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,35.0,1.0,0.0,0.0
321.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,40.0,1.0,0.0,0.0
332.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,40.0,1.0,0.0,0.0

358.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,45.0,1.0,0.0,0.0
